22.7381        3.89621	                    90      0
22.7381        3.89587	                    90      0
22.7381        3.89621	                    90      0
22.7381        3.89587	                    90      0
22.7381        3.89587	                    90      0
22.7381        3.89587	                    90      0
22.7381        3.89621	                    90      0
22.7381        3.89621	                    90      0
22.7381        3.89587	                    90      0
22.7381        3.89621	                    90      0
22.7381        3.89621	                    90      0
22.7381        3.89587	                    90      0
22.7381        3.89587	                    90      0
22.7381        3.89587	                    90      0
22.6857        3.98891	                    90      0
22.1381        3.81303	                    64.162      1
21.2571        3.46536	                    43.27      2
19.9286        2.94936	                    38.7612      2
18.1857        2.33529	                    27.4491      3
16.9952        1.87422	                    24.1067      3
15        1.00043	                    17.9075      3
11        -0.252959	                    8.28208      4
8.17143        -1.28578	                    2.81892      5
5.72857        -2.26344	                    -2.31819      5
3.72857        -2.98298	                    -6.24438      5
1.72857        -3.6884	                    -8.22827      6
1.1        -3.90173	                    -9.30752      6
0.371429        -4.31001	                    -9.40012      7
0.171429        -4.46963	                    -9.92145      7
0.261905        -4.43849	                    -8.55512      8
0.5        -4.39799	                    -8.27532      8
0.661905        -4.36262	                    -8.06978      8
1.2619        -4.25525	                    -6.43504      9
1.95238        -4.11456	                    -4.89173      10
2.13333        -4.20516	                    -4.88171      10
2.5        -3.91992	                    -4.12266      10
2.97619        -3.9559	                    -3.2123      11
3.13333        -3.87783	                    -2.96744      11
3.2619        -3.62371	                    -2.06005      12
3.31429        -3.45838	                    -1.7972      12
3.37143        -3.37141	                    -1.2919      13
3.2619        -3.21368	                    -1.1914      13
3.21429        -3.07891	                    -1.06667      13
3.04762        -3.00862	                    -0.859059      14
2.90476        -2.89976	                    -0.855757      14
2.57143        -2.9967	                    -1.0208      15
2.5        -2.96373	                    -1.04605      15
2.17143        -3.09514	                    -1.25807      16
2.01429        -3.01999	                    -1.31579      16
1.72857        -3.00945	                    -1.54643      16
1.2619        -3.22121	                    -1.96305      17
1.1        -3.50506	                    -2.36597      17
0.919048        -3.57897	                    -2.58801      17
0.647619        -3.8928	                    -2.90913      18
0.433333        -4.0464	                    -3.22599      18
0.261905        -4.43661	                    -3.716      18
0.214286        -4.47878	                    -3.58548      19
-0.0857143        -4.71828	                    -4.25848      18
-0.2        -4.89539	                    -4.28432      19
-0.485714        -5.08962	                    -4.68816      19
-0.485714        -5.17089	                    -4.54022      20
-0.685714        -5.11523	                    -4.6647      20
-0.828571        -4.74182	                    -4.30841      21
-1.24286        -4.32636	                    -4.34259      21
-1.34762        -4.25849	                    -4.37944      21
-1.62857        -3.8878	                    -4.33488      21
-1.9        -3.78192	                    -4.35308      22
-1.86667        -3.56932	                    -4.1706      22
-1.86667        -3.43665	                    -4.07427      22
-1.86667        -3.50312	                    -4.12254      22
-1.82857        -3.66953	                    -4.09562      23
-1.82857        -3.86187	                    -4.22921      23
-1.78571        -4.24186	                    -4.45687      23
-1.86667        -4.3299	                    -4.58631      23
-1.68571        -4.73361	                    -4.57716      24
-1.68571        -4.97059	                    -4.73473      24
-1.7381        -5.04889	                    -4.831      24
-2.05238        -5.06825	                    -5.10912      24
-2.4        -4.88071	                    -5.14827      25
-2.78571        -4.36635	                    -5.14528      25
-3.04762        -4.01785	                    -5.14362      25
-3.27143        -3.65584	                    -5.1011      25
-3.68571        -3.41865	                    -5.21516      26
-3.68571        -3.20822	                    -5.08573      26
-3.5        -3.1276	                    -4.8794      26
-3.42857        -3.20824	                    -4.86872      26
-3.18571        -3.48659	                    -4.83495      26
-3.42857        -3.6463	                    -5.13813      26
-3.5        -4.18669	                    -5.43549      27
-3.34762        -4.62046	                    -5.5636      27
-3.28095        -5.23789	                    -5.87258      27
-3.56667        -5.38992	                    -6.20361      27
-3.7381        -5.37189	                    -6.33764      27
-4.5        -4.95653	                    -6.73504      27
-4.82857        -4.86371	                    -6.85487      28
-5.62857        -4.31398	                    -7.30735      27
-5.86667        -4.1339	                    -7.31446      28
-6.04762        -4.20227	                    -7.50621      28
-5.9619        -4.60803	                    -7.66549      28
-5.7381        -5.00844	                    -7.60671      29
-5.62857        -5.46892	                    -7.76793      29
-5.35714        -6.11766	                    -8.016      28
-4.76667        -7.19625	                    -8.13181      28
-4.4        -8.12375	                    -8.19079      29
-4.32381        -9.1801	                    -8.70583      29
-4.52381        -9.90781	                    -9.27313      29
-5.1381        -10.0224	                    -9.85429      29
-5.61429        -10.3267	                    -10.4226      29
-5.67619        -10.8137	                    -10.741      29
-5.93333        -11.4516	                    -11.3064      29
-5.53333        -12.2928	                    -11.4273      29
-5.22857        -13.0963	                    -11.6072      29
-5.14762        -13.4006	                    -11.7043      29
-4.04762        -14.7339	                    -11.2333      30
-3.34762        -15.6203	                    -11.3874      29
-2.68571        -16.1825	                    -10.8415      30
-2.14762        -16.6808	                    -10.6473      30
-1.67143        -16.6871	                    -10.2486      30
-1.77619        -16.1934	                    -10.0796      30
-2.30952        -14.7595	                    -9.77976      30
-3.15714        -12.9039	                    -9.52073      30
-3.75238        -11.315	                    -9.18553      30
-4.04286        -9.49592	                    -8.4686      30
-4.4        -7.1759	                    -7.53891      30
-4.38095        -5.77025	                    -6.77513      30
-3.99524        -4.56872	                    -5.7312      31
-3.56667        -3.39731	                    -4.76503      31
-2.68571        -2.96178	                    -3.79666      31
-1.7381        -2.55667	                    -2.78769      31
-1        -2.3419	                    -2.05383      31
-0.271429        -2.19538	                    -1.36324      31
0.171429        -2.45087	                    -1.12141      31
0.814286        -2.64228	                    -0.677689      31
1.17143        -2.99638	                    -0.5591      31
1.2619        -3.35222	                    -0.666441      31
1.2619        -3.62389	                    -0.806669      31
0.828571        -3.79977	                    -1.26317      31
-0.0666667        -3.69773	                    -1.96609      31
-0.785714        -3.77338	                    -2.61201      31
-1.62857        -3.80679	                    -3.27933      32
-2.06667        -3.88072	                    -3.74853      31
-2.42857        -3.91488	                    -4.00857      32
-2.86667        -4.42191	                    -4.63178      32
-3.41429        -4.80336	                    -5.2846      32
-3.5619        -5.01612	                    -5.51549      32
-3.68571        -5.55488	                    -5.88909      32
-3.97143        -5.87768	                    -6.29141      32
-4.21905        -5.88363	                    -6.50337      32
-4.55238        -5.59915	                    -6.64267      32
-4.68571        -5.15549	                    -6.53361      32
-4.68571        -4.9804	                    -6.44614      32
-4.68571        -4.54109	                    -6.22662      32
-4.5        -4.11759	                    -5.85819      32
-4.02381        -4.11779	                    -5.3941      33
-3.68571        -3.98015	                    -5.10223      32
-3.02381        -4.22409	                    -4.66553      32
-2.5        -4.23593	                    -4.22935      32
-1.62857        -4.41726	                    -3.5845      32
-1.42381        -4.30214	                    -3.28907      33
-1.02381        -4.26596	                    -2.93394      33
-1.04762        -3.91948	                    -2.78605      33
-1.08095        -3.50551	                    -2.61344      33
-1.09524        -3.19079	                    -2.47285      33
-1        -3.00561	                    -2.30264      33
-1        -2.91017	                    -2.25634      33
-0.971429        -3.08404	                    -2.31657      33
-0.928571        -3.4165	                    -2.44166      33
-0.9        -3.81329	                    -2.60997      33
-1.02381        -3.9756	                    -2.79317      33
-1.24286        -4.27879	                    -3.12503      33
-1.56667        -4.28023	                    -3.39902      33
-1.82857        -4.20077	                    -3.52174      34
-2.56667        -3.82967	                    -3.97004      34
-2.86667        -3.70579	                    -4.16493      34
-3.08095        -3.53791	                    -4.26676      34
-3.35238        -3.59139	                    -4.52102      34
-3.35238        -3.69846	                    -4.57142      34
-3.35238        -3.7624	                    -4.60152      34
-3.02381        -4.04395	                    -4.45672      34
-3.02381        -4.17367	                    -4.51777      34
-2.7381        -4.34889	                    -4.35908      34
-2.7381        -4.19006	                    -4.28434      34
-2.78571        -3.84381	                    -4.16157      34
-2.78571        -3.34393	                    -3.88134      35
-2.82857        -3.0243	                    -3.81193      34
-2.62857        -2.85916	                    -3.52696      35
-2.35238        -2.85773	                    -3.2932      35
-2.27143        -2.82537	                    -3.21007      35
-1.9        -2.958	                    -2.95726      35
-1.5        -3.18171	                    -2.722      35
-1.18571        -3.47814	                    -2.59232      35
-0.971429        -3.52391	                    -2.4324      35
-0.971429        -3.4082	                    -2.37948      35
-1.56667        -2.88841	                    -2.64409      35
-1.82857        -2.69381	                    -2.74193      36
-1.97143        -2.54071	                    -2.7944      36
-1.97143        -2.52362	                    -2.81882      35
-1.97143        -2.78986	                    -2.90522      36
-1.97143        -2.88091	                    -2.94572      36
-1.9        -3.31195	                    -3.07715      36
-1.86667        -3.51001	                    -3.13709      36
-1.92857        -3.94674	                    -3.38352      36
-2.5        -3.70646	                    -3.75898      36
-2.82857        -3.51162	                    -3.94965      36
-3.18571        -3.23347	                    -4.12738      36
-3.5        -3.09603	                    -4.33152      36
-3.5        -2.90944	                    -4.24853      36
-3.5        -3.02891	                    -4.2653      37
-3.18571        -3.28816	                    -4.15171      36
-3.18571        -3.38499	                    -4.15414      37
-2.82857        -3.79372	                    -4.07509      36
-2.7381        -3.87736	                    -3.98939      37
-2.7381        -3.82349	                    -3.96608      37
-2.86667        -3.26905	                    -3.83469      37
-2.92857        -2.6843	                    -3.63387      37
-2.97143        -2.61491	                    -3.64001      37
-2.92857        -2.38929	                    -3.50618      37
-2.78571        -2.44832	                    -3.41115      37
-2.18571        -2.62417	                    -2.98087      37
-1.98571        -2.88629	                    -2.92552      37
-1.62857        -3.3182	                    -2.81101      37
-1.7381        -3.43286	                    -2.95306      37
-1.68571        -3.50146	                    -2.93854      37
-2.09524        -2.89907	                    -3.02349      37
-2.35238        -2.6989	                    -3.12318      38
-2.7381        -2.38802	                    -3.34486      37
-2.9        -2.48245	                    -3.49415      38
-2.9        -2.68551	                    -3.57973      38
-2.7381        -3.01813	                    -3.61759      37
-2.7381        -3.47627	                    -3.81585      37
-2.68571        -3.99554	                    -3.95087      38
-2.56667        -4.02688	                    -3.90938      37
-2.9        -3.87902	                    -4.08264      38
-3.62857        -3.25506	                    -4.43467      38
-3.92857        -2.98707	                    -4.60891      37
-4.09524        -2.71306	                    -4.60012      38
-4.27143        -2.94609	                    -4.84704      38
-3.99524        -3.06192	                    -4.66274      38
-3.9        -3.38295	                    -4.71764      38
-3.62857        -3.82288	                    -4.67391      38
-3.5        -4.14815	                    -4.70242      38
-3.56667        -4.21173	                    -4.78547      38
-3.78571        -3.5391	                    -4.68698      38
-3.97143        -3.1321	                    -4.67222      38
-4        -2.86683	                    -4.58455      38
-4        -2.51773	                    -4.43742      38
-4        -2.65667	                    -4.49597      38
-3.9        -2.79643	                    -4.47048      38
-3.5        -3.37281	                    -4.37577      38
-3.06667        -3.89171	                    -4.18667      39
-2.9        -4.12282	                    -4.18535      38
-3.35238        -3.88385	                    -4.46649      38
-3.92857        -3.23262	                    -4.67841      38
-4.27143        -2.78825	                    -4.78052      38
-4.68571        -2.61098	                    -5.05546      38
-4.7381        -2.77174	                    -5.13751      39
-4.56667        -2.95987	                    -5.10202      38
-4.42857        -3.58157	                    -5.2088      39
-4.35238        -3.81971	                    -5.28347      38
-4.11429        -4.56946	                    -5.34905      39
-4.32381        -4.82507	                    -5.63078      39
-4.7381        -4.43747	                    -5.82137      39
-5.5        -3.74124	                    -6.17863      39
-5.99524        -3.0865	                    -6.32779      39
-6.18571        -2.97781	                    -6.44392      39
-6.35238        -3.04841	                    -6.61358      39
-6.09048        -3.52006	                    -6.58619      39
-5.78571        -4.21121	                    -6.6127      39
-5.62857        -4.75217	                    -6.70208      39
-5.48571        -5.18306	                    -6.75831      39
-5.68571        -5.08713	                    -6.88775      39
-6.22381        -4.72949	                    -7.19516      39
-7.09524        -3.42551	                    -7.39539      39
-7.5        -2.9923	                    -7.55913      39
-7.62857        -2.87535	                    -7.61962      39
-7.56667        -2.95643	                    -7.60067      39
-7.18571        -3.54285	                    -7.51993      39
-6.86667        -4.42212	                    -7.61159      39
-6.62857        -5.0531	                    -7.66956      39
-6.7381        -5.46917	                    -7.93269      39
-7.05238        -5.37004	                    -8.15728      39
-8.26667        -4.41846	                    -8.79168      39
-8.92857        -3.72876	                    -9.06723      39
-9.5        -3.31905	                    -9.3813      39
-9.68571        -3.54585	                    -9.63116      39
-9.56667        -4.21526	                    -9.80548      39
-9.17143        -5.75899	                    -10.1053      39
-9.05714        -6.97514	                    -10.5074      39
-8.99524        -8.07128	                    -10.9042      39
-9.59048        -8.29492	                    -11.4981      39
-11.0095        -7.72197	                    -12.4612      39
-12.0571        -7.18729	                    -13.1264      39
-12.5381        -6.9666	                    -13.4418      39
-13.181        -7.35177	                    -14.1422      39
-13.0095        -8.21108	                    -14.3495      39
-12.5286        -9.58431	                    -14.5054      39
-11.9667        -11.0395	                    -14.5132      40
-11.1905        -12.7324	                    -14.6611      39
-10.781        -13.9461	                    -14.8096      39
-11.3095        -14.0706	                    -15.3064      39
-12.7143        -12.8265	                    -15.9856      39
-13.6524        -11.9485	                    -16.4194      39
-14.119        -11.3858	                    -16.5837      39
-14.0952        -11.2692	                    -16.516      39
-13.7619        -11.3656	                    -16.2741      39
-12.8429        -12.0445	                    -15.7754      39
-11.781        -12.9158	                    -15.2342      39
-10.5524        -13.8128	                    -14.4221      40
-9.57619        -14.1313	                    -13.7245      40
-9.34762        -13.9136	                    -13.5866      39
-9.83333        -12.4846	                    -13.4147      39
-10.119        -10.8559	                    -12.9914      39
-9.96667        -10.0395	                    -12.5293      39
-9.71429        -9.76943	                    -12.1061      40
-9.04286        -9.6842	                    -11.5055      40
-7.8        -10.3115	                    -10.7065      40
-6.79524        -11.0879	                    -10.1678      40
-5.93333        -11.7871	                    -9.83872      39
-5.71429        -11.9777	                    -9.73156      39
-6.39524        -10.9746	                    -9.89698      39
-7.31429        -9.98211	                    -10.2672      39
-7.90952        -9.27885	                    -10.3873      40
-8.20952        -8.79536	                    -10.4476      40
-8.32857        -8.67473	                    -10.5885      39
-8.0619        -9.12472	                    -10.5476      39
-7.71429        -9.81859	                    -10.538      39
-7.18571        -10.5293	                    -10.2749      40
-6.9381        -10.9424	                    -10.2304      40
-7.39524        -10.6857	                    -10.623      39
-8.0619        -9.42271	                    -10.6695      39
-8.25238        -9.1483	                    -10.6246      40
-8.84286        -7.96573	                    -10.6509      40
-8.69524        -7.5662	                    -10.3668      40
-8.29524        -7.6652	                    -10.0687      40
-7.49524        -7.85249	                    -9.4683      40
-6.82381        -8.23887	                    -9.05589      40
-5.98095        -8.70023	                    -8.52868      40
-5.46667        -8.59808	                    -8.05386      40
-5.84286        -7.5114	                    -7.93745      40
-5.91905        -7.16147	                    -7.86195      40
-5.97143        -6.04683	                    -7.46062      40
-5.62381        -5.61764	                    -6.99559      40
-5.28095        -5.54872	                    -6.67866      40
-4.62857        -5.67445	                    -6.17833      40
-3.83333        -6.42185	                    -5.80601      40
-3.32857        -6.83856	                    -5.54655      40
-3.29524        -7.07939	                    -5.61466      40
-3.32857        -7.14988	                    -5.67096      40
-3.51905        -6.6517	                    -5.63263      40
-4.62857        -5.55123	                    -6.12905      40
-5.05238        -5.26902	                    -6.37386      40
-5.30476        -5.12167	                    -6.52793      40
-5.28095        -5.23576	                    -6.55348      40
-5.01429        -5.89498	                    -6.59207      40
-4.83333        -6.48963	                    -6.6771      40
-4.91905        -6.90126	                    -6.91397      40
-5.32857        -6.62034	                    -7.14733      40
-5.68095        -5.99306	                    -7.19396      40
-6.17143        -5.3806	                    -7.36297      40
-6.4        -5.0788	                    -7.43516      40
-6.41429        -4.70283	                    -7.29679      40
-5.9619        -4.76157	                    -6.93849      40
-5.56667        -4.99266	                    -6.69736      40
-4.92381        -5.32169	                    -6.28642      40
-4.1381        -5.70562	                    -5.77684      40
-3.78571        -5.55959	                    -5.42102      40
-3.82857        -4.76776	                    -5.14043      40
-4.02381        -4.06468	                    -5.02385      40
-3.95238        -3.74323	                    -4.83489      40
-3.9        -3.50099	                    -4.69371      40
-3.56667        -3.52622	                    -4.42248      40
-3.08095        -3.69872	                    -4.08159      40
-2.7381        -4.22354	                    -4.00228      40
-2.56667        -4.72793	                    -4.05944      40
-2.48571        -4.90036	                    -4.06011      40
-2.62857        -4.7963	                    -4.13905      40
-3.42857        -4.02471	                    -4.50547      40
-3.82857        -3.73498	                    -4.72709      40
-4.09048        -3.45262	                    -4.83511      40
-4.18095        -3.59461	                    -4.96831      40
-4.26667        -3.93557	                    -5.17714      40
-3.99524        -4.56603	                    -5.20037      40
-4.05238        -4.99288	                    -5.41939      40
-4.17143        -5.26969	                    -5.63061      40
-4.48571        -5.04845	                    -5.80736      40
-5.11429        -4.32724	                    -6.04929      40
-5.5        -3.75726	                    -6.1467      40
-5.7381        -3.30027	                    -6.16471      40
-5.56667        -3.28545	                    -6.01409      40
-5.27143        -3.27408	                    -5.76035      40
-4.7381        -3.65003	                    -5.46073      40
-4.34762        -4.17751	                    -5.3423      40
-4.02381        -4.22069	                    -5.08629      40
-4.08095        -3.59656	                    -4.88469      40
-4.5        -2.27806	                    -4.71044      40
-5        -1.46516	                    -4.80688      40
-5        -0.133004	                    -4.27328      40
-5.01429        0.795729	                    -3.91332      40
-5.07143        1.52236	                    -3.6705      40
-5.02857        1.75139	                    -3.54259      40
-5.00476        1.71499	                    -3.53708      40
-5.1        2.3042	                    -3.38149      40
-6.1        3.75123	                    -3.64612      40
